iter,train_loss,train_acc,test_loss,test_acc,time
1,4.678253,1.000000,4.678253,1.000000,0.000000
2,4.655397,1.010000,4.655336,1.000000,0.000000
3,4.393182,2.752000,4.372667,2.890000,0.000000
4,4.319350,3.818000,4.301500,3.810000,0.000000
5,4.345835,3.458000,4.333299,3.480000,287.417269
6,4.325356,3.652000,4.314875,3.610000,279.661972
7,4.343230,3.364000,4.331953,3.370000,291.595035
8,4.327672,3.502000,4.313480,3.590000,274.686624
9,4.320908,3.562000,4.309696,3.610000,259.855216
10,4.321420,3.728000,4.310804,3.690000,277.791268
11,4.336981,3.752000,4.321981,4.000000,308.689593
12,4.331302,3.434000,4.322508,3.560000,268.411937
13,4.374679,3.540000,4.359770,3.810000,295.964894
14,4.395827,2.788000,4.381496,2.840000,299.902488
15,4.348076,3.556000,4.331070,3.900000,305.450714
16,4.345358,3.206000,4.333328,3.300000,276.180579
17,4.390469,2.718000,4.378420,2.950000,255.549178
18,4.383169,2.798000,4.372969,2.740000,281.637285
19,4.377607,3.154000,4.363961,3.320000,274.406791
20,4.357018,3.108000,4.348129,3.320000,248.429908
21,4.367608,3.364000,4.352261,3.490000,252.582152
22,4.749023,1.638000,4.777463,1.620000,283.076845
23,4.420421,2.636000,4.410655,2.780000,279.764936
24,4.395421,2.604000,4.387154,2.710000,288.263119
25,4.432349,2.432000,4.426331,2.220000,296.166669
26,4.377788,2.904000,4.368881,3.070000,313.503596
27,4.390628,2.580000,4.382607,2.800000,279.450668
28,4.432623,2.374000,4.423444,2.260000,288.927340
29,4.438304,2.486000,4.425628,2.570000,317.361456
30,4.413826,2.346000,4.407205,2.330000,274.583144
31,4.427649,2.380000,4.419043,2.470000,267.514728
32,4.446723,2.232000,4.437741,2.340000,298.396677
33,4.453633,2.222000,4.446283,2.290000,280.881316
34,4.470453,2.240000,4.459672,2.410000,272.970819
35,4.459870,2.096000,4.450563,2.160000,297.482171
36,4.466688,1.968000,4.458265,1.930000,281.460640
37,4.417685,2.582000,4.409907,2.750000,268.012582
38,4.424788,2.650000,4.414600,2.860000,252.985088
39,4.473764,2.206000,4.464260,2.290000,301.913937
40,4.478320,1.962000,4.468631,1.990000,275.945096
41,4.514122,1.776000,4.502715,1.800000,344.592277
42,4.719162,1.210000,4.733951,1.230000,300.303508
43,4.432553,2.350000,4.422104,2.430000,276.931778
44,4.422366,2.524000,4.415038,2.620000,320.375951
45,4.482551,1.916000,4.473039,1.810000,283.299294
46,4.468194,2.128000,4.457998,2.250000,293.835820
47,4.435041,2.272000,4.427119,2.230000,293.916127
48,4.375375,3.212000,4.370744,3.240000,321.253290
49,4.460166,2.308000,4.451209,2.440000,292.959782
50,4.410553,2.656000,4.403495,2.660000,309.641663
51,4.406726,2.596000,4.398716,2.530000,297.271801
52,4.481916,1.904000,4.474612,1.860000,287.770635
53,4.439466,2.312000,4.432011,2.400000,278.821184
54,4.451449,2.256000,4.445506,2.350000,275.219378
55,4.470191,2.120000,4.462616,2.090000,299.985798
56,4.474547,1.900000,4.466360,1.830000,291.134315
57,4.485840,1.858000,4.480548,1.730000,279.132249
58,4.474976,1.978000,4.465384,2.090000,282.464037
59,4.496567,1.804000,4.491303,1.880000,281.488079
60,4.459673,2.184000,4.450315,2.200000,263.392601
61,4.465440,2.104000,4.458488,2.000000,300.726064
62,4.473127,1.998000,4.465134,2.060000,289.720996
63,4.491739,1.864000,4.483784,1.820000,272.226627
64,4.464642,1.844000,4.456611,1.860000,299.955074
65,4.488666,1.798000,4.480969,1.700000,282.367992
66,4.515106,1.648000,4.509122,1.640000,318.652891
